"individual","status","MDS1","MDS2","pred_immigrant","pred_resident"
"Wytham_UK_N200942","immigrant",-0.075502067603452,-0.081934839167894,0.04,0.96
"Wytham_UK_N200599","immigrant",0.0289521134148199,-0.142783207999579,0.56,0.44
"Wytham_UK_T640748","immigrant",0.173391729841184,-0.0497430530500119,1,0
"Wytham_UK_N199505","immigrant",-0.0651174326693995,-0.113493918664243,0.1,0.9
"Wytham_UK_T640011","immigrant",-0.072941667764212,-0.098935614848517,1,0
"Wytham_UK_T550134","immigrant",-0.104130096933588,-0.0833171615867628,0.12,0.88
"Wytham_UK_R639201","immigrant",-0.0430580312178163,-0.0829345744492532,0.04,0.96
"Wytham_UK_X239571","immigrant",-0.0980015413850089,-0.128661165504975,0.92,0.08
"Wytham_UK_N200588","immigrant",-0.147332393488583,0.0278804733411553,0,1
"Wytham_UK_K578961","immigrant",-0.128237792970793,-0.0625512097311991,0,1
"Wytham_UK_P439161","immigrant",-0.0503154376215218,-0.109296091025714,0.32,0.68
"Wytham_UK_R040149","immigrant",-0.18387387715937,0.200701661507269,0,1
"Wytham_UK_R040172","immigrant",-0.00674067873856044,-0.106127728835485,1,0
"Wytham_UK_K578619","immigrant",0.20635581504693,-0.0273700235495665,1,0
"Wytham_UK_T640211","immigrant",0.0562276298096608,-0.116115716792793,1,0
"Wytham_UK_K578605","immigrant",0.363772026809426,0.0222477840808738,1,0
"Wytham_UK_N200009","immigrant",-0.0978223427463063,-0.0971951578004556,0,1
"Wytham_UK_F464559","immigrant",0.0228154304992233,-0.0827414268162162,0.86,0.14
"Wytham_UK_T176841","immigrant",0.0140636189390635,-0.109526835836423,1,0
"Wytham_UK_T550059","immigrant",0.205058732544817,-0.0171883963264654,1,0
"Wytham_UK_X235602","immigrant",-0.122611957734729,0.112155851382588,0,1
"Wytham_UK_N200126","immigrant",-0.125897363434143,0.0934155682540697,1,0
"Wytham_UK_R639455","immigrant",-0.0386533374713066,-0.0880689944039944,1,0
"Wytham_UK_T177799","immigrant",0.468544654207176,0.0874898517002075,1,0
"Wytham_UK_J645000","immigrant",-0.0974182597621278,-0.107430869628951,1,0
"Wytham_UK_P439036","immigrant",0.16747037602682,-0.0860435738728227,1,0
"Wytham_UK_N199106","immigrant",-0.13143476278848,-0.075917737667478,0,1
"Wytham_UK_F952447","immigrant",-0.0928674739134843,-0.094084940146396,0,1
"Wytham_UK_C695390","immigrant",0.208323886863401,-0.00288255624694308,1,0
"Wytham_UK_T640334","immigrant",0.152493940218494,-0.0650422924861136,1,0
